 Procedimentos hospitalares do SUS - por gestor - Brasil
Valor total por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"351930 Ibaté";501118,89;475874,19;466661,81;426216,36;1869871,25
"351940 Ibirá";122818,64;119962,61;172691,75;35114,37;450587,37
"351960 Ibitinga";2434602,64;2357918,07;2680664,44;2726759,09;10199944,24
"351970 Ibiúna";1301870,03;1112099,89;791599,14;770772,47;3976341,53
"351990 Iepê";295198,89;282939,75;308493,09;248554,99;1135186,72
"352010 Igarapava";461144,86;578332,56;736696,37;637194,33;2413368,12
"352020 Igaratá";2249,43;1885,47;-;-;4134,90
"352040 Ilhabela";1095804,91;1242308,92;1352578,61;1362506,82;5053199,26
"352050 Indaiatuba";12720727,52;11678249,09;11396840,74;14026091,80;49821909,15
"352070 Indiaporã";59758,22;115178,32;137785,37;96215,36;408937,27
"352090 Ipaussu";217576,83;211679,62;246100,36;292461,18;967817,99
"352130 Ipuã";138472,29;109585,43;107349,58;250514,36;605921,66
"352170 Itaberá";199433,95;216331,71;199564,94;232544,45;847875,05
"352180 Itaí";185571,08;42311,64;59281,30;128329,53;415493,55
"352190 Itajobi";163755,64;170112,43;129117,57;48726,11;511711,75
"352220 Itapecerica da Serra";1000359,77;988331,14;1081169,24;1204125,40;4273985,55
"352230 Itapetininga";5704148,15;5692329,50;6158659,52;6799362,15;24354499,32
"352240 Itapeva";9457975,91;10008275,68;10455180,82;8911779,02;38833211,43
"352260 Itapira";2605802,85;3001968,38;2981714,34;3934922,64;12524408,21
"352270 Itápolis";1896021,45;2007210,90;2338922,13;2245995,66;8488150,14
"352280 Itaporanga";426750,16;465902,77;531923,09;540849,78;1965425,80
"352290 Itapuí";70092,23;48104,62;82413,33;86067,25;286677,43
"352320 Itararé";1606919,52;1673261,28;1715893,47;1895457,02;6891531,29
"352340 Itatiba";3767340,71;4000526,88;3709004,68;3285874,78;14762747,05
"352350 Itatinga";27923,48;67225,94;85146,45;90005,66;270301,53
"352360 Itirapina";124177,27;99385,27;86771,35;106651,50;416985,39
"352390 Itu";-;-;233643,03;1509049,53;1742692,56
"352400 Itupeva";458103,13;462746,29;457390,81;988889,23;2367129,46
"352410 Ituverava";3490630,89;3699866,72;3649781,60;3836846,46;14677125,67
"352420 Jaborandi";30533,71;21857,71;50592,12;28229,74;131213,28
"352430 Jaboticabal";1849044,69;1979731,51;1992072,33;2844725,68;8665574,21
"352440 Jacareí";14065705,91;14742076,05;14563790,04;15847996,17;59219568,17
"352470 Jaguariúna";1883280,33;1965047,88;1901548,78;1926715,85;7676592,84
"352520 Jarinu";152833,75;182916,86;246330,79;138177,96;720259,36
"352530 Jaú";14828221,48;14680923,21;14639177,66;16226150,85;60374473,20
"352550 Joanópolis";80899,27;76911,51;75852,90;44241,13;277904,81
"352590 Jundiaí";33125415,05;33695742,74;32730951,50;43488387,69;143040496,98
"352600 Junqueirópolis";639329,56;613430,40;618538,07;498999,22;2370297,25
"352610 Juquiá";1602,53;-;-;-;1602,53
"352640 Laranjal Paulista";689584,06;711841,99;642230,86;1307774,77;3351431,68
"352670 Leme";3472324,94;3537393,09;3816071,98;4392194,36;15217984,37
"352680 Lençóis Paulista";1307162,38;1404620,91;1379561,56;1783516,99;5874861,84
"352690 Limeira";24572252,71;25251778,27;26181494,86;27740899,30;103746425,14
"352710 Lins";4014847,76;4224599,82;4455104,67;4882423,28;17576975,53
"352720 Lorena";5467647,12;5523134,29;5862745,13;6589799,56;23443326,10
"352730 Louveira";1033990,76;1195703,68;1205279,36;1628339,55;5063313,35
"352740 Lucélia";148545,59;180575,79;222742,83;233979,99;785844,20
"352800 Macatuba";290531,30;297636,44;352260,48;277910,78;1218339,00
"352810 Macaubal";52654,82;35550,76;28290,64;19433,89;135930,11
"352850 Mairiporã";1240170,08;1333050,74;1119666,65;1243884,55;4936772,02
"352880 Maracaí";232273,73;255079,85;217535,34;234714,55;939603,47
"352900 Marília";18509847,05;22882824,05;26080509,44;25677679,88;93150860,42
"352920 Martinópolis";529694,41;569382,27;483487,48;557670,32;2140234,48
"352940 Mauá";14371975,85;12015185,50;12388923,08;14366003,87;53142088,30
"352970 Miguelópolis";308658,35;364552,28;499760,59;520666,96;1693638,18
"353030 Mirassol";834250,50;992857,10;992065,58;743285,09;3562458,27
"353050 Mococa";4779763,46;4382645,50;4571048,47;4254341,01;17987798,44
"353060 Mogi das Cruzes";14456628,47;15811801,38;15101329,79;22946473,92;68316233,56
"353070 Mogi Guaçu";11910759,95;12081410,60;12477264,35;10892406,97;47361841,87
"353080 Mogi Mirim";4158711,93;3459067,64;4054848,49;5662706,16;17335334,22
"353110 Mongaguá";135200,13;146491,44;225851,62;144950,15;652493,34
"353130 Monte Alto";2299712,51;2314077,70;2086719,12;3456487,48;10156996,81
"353150 Monte Azul Paulista";812679,72;692003,25;596256,23;478133,27;2579072,47
"353180 Monte Mor";586523,49;567006,60;577749,76;562138,11;2293417,96
"353190 Morro Agudo";810861,40;1105928,35;655822,33;676455,44;3249067,52
"353200 Morungaba";35154,82;56500,46;45544,86;69037,43;206237,57
