 Produção Ambulatorial do SUS - por gestor -  Brasil
Valor aprovado por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"210465 Governador Newton Bello";115215,92;327216,52;398032,10;390972,54;1231437,08
"210467 Governador Nunes Freire";1164988,06;1066166,48;820447,70;491949,89;3543552,13
"210470 Graça Aranha";-;238689,64;280653,37;593034,13;1112377,14
"210480 Grajaú";7473719,33;11398584,31;12950922,33;7710002,34;39533228,31
"210490 Guimarães";-;10452,50;9700,80;12345,89;32499,19
"210500 Humberto de Campos";-;-;731834,73;181213,78;913048,51
"210510 Icatu";476922,45;594163,33;1137253,08;3577025,65;5785364,51
"210515 Igarapé do Meio";-;116917,02;93600,80;268584,65;479102,47
"210520 Igarapé Grande";452651,90;850713,04;6247700,03;6296458,35;13847523,32
"210530 Imperatriz";22936849,94;22464913,08;24644101,54;15782562,96;85828427,52
"210535 Itaipava do Grajaú";143820,87;637130,46;679384,62;599412,50;2059748,45
"210540 Itapecuru Mirim";491175,66;694050,98;1154921,42;1737894,10;4078042,16
"210542 Itinga do Maranhão";73480,83;186221,81;222045,91;237471,05;719219,60
"210545 Jatobá";-;258730,11;230084,35;868979,91;1357794,37
"210547 Jenipapo dos Vieiras";111743,76;504481,28;426956,14;329673,14;1372854,32
"210550 João Lisboa";459753,53;474840,49;576313,82;492832,91;2003740,75
"210560 Joselândia";11210,08;35583,65;795127,56;1112097,04;1954018,33
"210565 Junco do Maranhão";116508,48;182551,39;-;-;299059,87
"210570 Lago da Pedra";4301426,67;4155016,59;7378082,16;6409456,42;22243981,84
"210580 Lago do Junco";468884,55;841218,39;489420,13;475704,22;2275227,29
"210594 Lago dos Rodrigues";59272,00;108884,00;4014281,95;4016353,90;8198791,85
"210592 Lagoa do Mato";108758,60;217851,52;197261,89;167123,35;690995,36
"210596 Lagoa Grande do Maranhão";36065,46;89966,06;55551,12;24316,20;205898,84
"210598 Lajeado Novo";-;-;1617,00;2717,00;4334,00
"210600 Lima Campos";799125,67;757351,68;1291494,60;1733131,98;4581103,93
"210610 Loreto";323,00;105663,78;104947,21;104860,70;315794,69
"210630 Magalhães de Almeida";13506,68;192243,04;93780,16;421227,54;720757,42
"210632 Maracaçumé";99690,00;372424,97;343845,13;347817,46;1163777,56
"210635 Marajá do Sena";7993,27;22408,47;23464,61;28836,96;82703,31
"210637 Maranhãozinho";166793,63;714499,49;1024135,10;1374005,89;3279434,11
"210640 Mata Roma";368381,79;409346,35;298739,54;1085068,74;2161536,42
"210650 Matinha";683521,01;756610,31;541729,46;522873,85;2504734,63
"210660 Matões";364000,87;861894,78;882376,60;471482,29;2579754,54
"210663 Matões do Norte";132749,89;238456,94;290347,67;233140,15;894694,65
"210667 Milagres do Maranhão";100,00;73973,89;163228,51;322151,62;559454,02
"210670 Mirador";-;58093,79;54682,37;416762,07;529538,23
"210675 Miranda do Norte";782378,30;881077,08;1485391,83;592263,57;3741110,78
"210680 Mirinzal";-;-;162968,49;126614,01;289582,50
"210690 Monção";-;707,00;70603,93;38546,26;109857,19
"210700 Montes Altos";-;282076,82;166088,84;121719,17;569884,83
"210710 Morros";2475,00;11038,65;12667,05;39909,90;66090,60
"210720 Nina Rodrigues";-;744100,36;2386405,28;1269415,75;4399921,39
"210725 Nova Colinas";-;-;19977,14;24625,03;44602,17
"210730 Nova Iorque";-;69873,16;158658,89;268602,37;497134,42
"210735 Nova Olinda do Maranhão";11986,97;94258,54;86542,91;102659,49;295447,91
"210740 Olho d'Água das Cunhãs";-;-;5422,18;12738,09;18160,27
"210745 Olinda Nova do Maranhão";523772,54;473380,10;1122384,23;5301640,48;7421177,35
"210750 Paço do Lumiar";300653,96;319851,00;372716,03;2024547,50;3017768,49
"210760 Palmeirândia";521179,05;643227,55;454170,17;538226,99;2156803,76
"210770 Paraibano";309103,31;326628,95;422411,37;550289,30;1608432,93
"210780 Parnarama";503689,05;687183,37;4292704,53;920985,11;6404562,06
"210790 Passagem Franca";867583,61;284857,75;19679,00;18214,67;1190335,03
"210800 Pastos Bons";589392,15;615629,19;790134,60;1595068,14;3590224,08
"210805 Paulino Neves";-;7246,98;17430,94;62485,29;87163,21
"210810 Paulo Ramos";84215,71;636026,59;6189118,61;6862445,84;13771806,75
"210820 Pedreiras";3649913,31;3638631,02;3343278,11;2169744,82;12801567,26
"210825 Pedro do Rosário";-;5417,69;180985,40;1167120,57;1353523,66
"210830 Penalva";789823,99;766379,71;848658,47;732992,61;3137854,78
"210840 Peri Mirim";72656,53;44959,33;-;-;117615,86
"210845 Peritoró";377848,55;522402,98;602793,20;714477,34;2217522,07
"210850 Pindaré-Mirim";1290,00;1904,00;2481,00;95,00;5770,00
"210860 Pinheiro";1973813,04;10852926,04;26896073,23;10884824,66;50607636,97
"210870 Pio XII";220011,56;816606,01;159461,09;117318,66;1313397,32
"210880 Pirapemas";489432,06;707670,99;684749,04;552493,87;2434345,96
"210890 Poção de Pedras";355548,74;367316,29;482610,27;1515148,48;2720623,78
"210900 Porto Franco";1482400,04;1686374,97;1289016,10;1406366,48;5864157,59
"210905 Porto Rico do Maranhão";10455,19;2714,12;10624,15;20909,02;44702,48
"210910 Presidente Dutra";1688664,41;1830465,90;1707693,12;478747,60;5705571,03
"210920 Presidente Juscelino";266043,03;278486,73;190253,43;-;734783,19
"210923 Presidente Médici";57987,36;224621,37;216931,72;3214526,27;3714066,72
"210927 Presidente Sarney";-;2144,86;1731,00;915,00;4790,86
"210930 Presidente Vargas";63550,64;87898,67;158761,48;1793081,36;2103292,15
"210940 Primeira Cruz";503259,49;515125,46;853462,26;1415728,52;3287575,73
"210945 Raposa";765916,82;613224,17;614925,47;690060,74;2684127,20
"210950 Riachão";97047,70;354710,33;483068,06;378244,47;1313070,56
"210955 Ribamar Fiquene";-;-;-;22649,00;22649,00
"210960 Rosário";642600,13;573876,61;1380827,79;1649703,79;4247008,32
"210970 Sambaíba";130,00;53824,29;59493,33;41814,07;155261,69
"210975 Santa Filomena do Maranhão";-;29659,67;678608,19;160677,87;868945,73
"210980 Santa Helena";334959,70;1202380,99;1245997,84;934225,99;3717564,52
"210990 Santa Inês";5754616,87;9818803,10;7270467,40;8005387,16;30849274,53
"211000 Santa Luzia";1869950,27;1935337,16;3709992,42;4044951,99;11560231,84
"211003 Santa Luzia do Paruá";86435,07;555679,77;361148,82;336823,42;1340087,08
"211010 Santa Quitéria do Maranhão";68189,67;232068,59;280266,72;4275690,48;4856215,46
"211020 Santa Rita";1097591,34;1147646,93;1400297,18;1415752,10;5061287,55
"211023 Santana do Maranhão";68529,85;182562,04;191641,78;145679,12;588412,79
"211027 Santo Amaro do Maranhão";-;104837,22;181641,71;169565,41;456044,34
"211030 Santo Antônio dos Lopes";578453,40;679534,00;851543,25;786418,01;2895948,66
