id_municipio,2017,Ideb
2409209,4,4.3
2409308,4.3,4.8
2409332,4.6,-
2409407,5,5.2
2409506,4.7,4.1
2409605,3.6,3.4
2409704,3.9,4
2409803,4.1,4
2409902,4.1,4.4
2410009,4.6,4.8
2410108,3.8,3.6
2410207,4.7,5
2410256,3.4,3.5
2410306,4.1,4.2
2410405,3.7,4
2410504,4,5.2
2410603,5.1,5.2
2410702,5.4,5.3
2410801,4.6,4.6
2410900,3.7,4.1
2411007,4.7,4.4
2411056,4.7,5.1
2411106,5.4,6.1
2411205,4.2,4.3
2411403,4.5,4.9
2411429,6,6
2411502,4.2,4.8
2411601,3.8,3.7
2411700,4.8,4.5
2411809,5.3,5.9
2411908,4.6,5.1
2412005,4,4.5
2412104,5.6,5.7
2412203,4,4.5
2412302,3.8,4.4
2412401,5.6,5.8
