 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"410752 Esperança Nova";209969,24;280005,59;265044,21;165264,21;920283,25
"410754 Espigão Alto do Iguaçu";462141,37;388406,21;456360,69;375058,05;1681966,32
"410755 Farol";414600,77;342362,23;291661,79;213897,27;1262522,06
"410760 Faxinal";2054429,04;2509040,12;2439808,24;1856021,87;8859299,27
"410765 Fazenda Rio Grande";16523025,48;16999260,05;19861864,75;19720601,71;73104751,99
"410770 Fênix";570893,30;518692,04;513249,30;515170,18;2118004,82
"410773 Fernandes Pinheiro";653126,14;627521,67;454892,25;649358,00;2384898,06
"410775 Figueira";941256,43;912106,02;997377,82;823986,04;3674726,31
"410785 Flor da Serra do Sul";586052,01;657219,14;574048,78;424950,30;2242270,23
"410780 Floraí";557646,87;618377,48;756784,16;635763,25;2568571,76
"410790 Floresta";962348,17;966480,58;780077,33;794182,27;3503088,35
"410800 Florestópolis";1306150,62;1872542,32;1275393,81;1776139,72;6230226,47
"410810 Flórida";279309,18;279130,36;332249,54;179405,25;1070094,33
"410820 Formosa do Oeste";1028208,09;950804,36;915629,51;887639,53;3782281,49
"410830 Foz do Iguaçu";23382870,42;25106377,46;28834261,55;30497137,09;107820646,52
"410845 Foz do Jordão";584413,46;533997,78;612636,05;477553,08;2208600,37
"410832 Francisco Alves";958919,20;972467,84;1324117,09;1279864,85;4535368,98
"410840 Francisco Beltrão";8536102,89;10071117,92;10253622,25;9457667,92;38318510,98
"410850 General Carneiro";1413877,95;1523132,19;1860249,56;1060466,62;5857726,32
"410855 Godoy Moreira";442419,93;509765,10;543896,74;284830,44;1780912,21
"410860 Goioerê";3018315,40;2932453,34;3252654,31;2583055,21;11786478,26
"410865 Goioxim";580358,95;727450,74;598152,48;526133,57;2432095,74
"410870 Grandes Rios";648397,96;644919,44;707546,92;933510,63;2934374,95
"410880 Guaíra";3725354,61;4134835,15;3570329,70;3952038,04;15382557,50
"410890 Guairaçá";487547,75;644717,28;627254,72;521796,00;2281315,75
"410895 Guamiranga";755975,17;903309,84;766722,62;570322,22;2996329,85
"410900 Guapirama";663424,22;884922,57;817096,32;453574,68;2819017,79
"410910 Guaporema";194620,97;293688,03;234743,07;442558,32;1165610,39
"410920 Guaraci";633083,54;556213,94;882103,28;556634,26;2628035,02
"410930 Guaraniaçu";1633943,13;2045071,74;1315614,60;1549325,13;6543954,60
"410940 Guarapuava";16665213,25;17537927,95;17889954,08;15300066,77;67393162,05
"410950 Guaraqueçaba";480057,27;651029,33;758143,83;634494,77;2523725,20
"410960 Guaratuba";5054933,34;5410673,47;5142242,96;4008160,73;19616010,50
"410965 Honório Serpa";458804,08;543574,55;383513,54;297424,94;1683317,11
"410970 Ibaiti";2718481,61;3394947,15;3323340,68;3326692,51;12763461,95
"410975 Ibema";787984,05;1031001,31;604712,34;812230,12;3235927,82
"410980 Ibiporã";6017864,21;6365063,52;6639011,04;7447489,64;26469428,41
"410990 Icaraíma";1093659,81;1406246,29;977052,28;987396,01;4464354,39
"411000 Iguaraçu";439258,38;695004,68;613619,52;634064,72;2381947,30
"411005 Iguatu";371964,23;299141,44;262213,54;297244,55;1230563,76
"411007 Imbaú";1518819,96;1978694,65;2056033,86;1261956,38;6815504,85
"411010 Imbituva";3524493,55;2957229,55;3284334,38;3217110,60;12983168,08
"411020 Inácio Martins";1217537,82;856861,77;816296,77;893997,39;3784693,75
"411030 Inajá";359610,04;368888,26;335676,66;318456,67;1382631,63
"411040 Indianópolis";678135,10;957794,98;443497,91;504030,69;2583458,68
"411050 Ipiranga";1583192,16;1770846,32;1747259,03;1885757,00;6987054,51
"411060 Iporã";1905815,84;2180583,89;2000699,70;1925321,56;8012420,99
"411065 Iracema do Oeste";402779,77;249682,86;316317,11;258076,81;1226856,55
"411070 Irati";5747930,12;5913877,49;6834298,15;5524983,60;24021089,36
"411080 Iretama";1576274,80;1205168,88;1161961,33;808154,51;4751559,52
"411090 Itaguajé";407959,48;730676,64;611088,04;534015,27;2283739,43
"411095 Itaipulândia";834533,78;1086276,26;731030,11;969019,67;3620859,82
"411100 Itambaracá";802072,62;1055325,16;923122,68;961005,01;3741525,47
"411110 Itambé";725445,46;985205,06;847092,10;939439,43;3497182,05
"411120 Itapejara d'Oeste";1231934,22;1466636,33;1237815,93;1130596,45;5066982,93
"411125 Itaperuçu";4103811,97;5460880,75;6078232,23;4830939,51;20473864,46
"411130 Itaúna do Sul";362114,65;559569,02;612801,74;501248,20;2035733,61
"411140 Ivaí";1249929,79;1244277,52;1606601,64;1374751,88;5475560,83
"411150 Ivaiporã";4344484,97;4925715,41;5479124,56;4914755,63;19664080,57
"411155 Ivaté";696636,53;885255,83;708847,09;753890,11;3044629,56
"411160 Ivatuba";310654,88;299711,62;372197,64;335108,34;1317672,48
"411170 Jaboti";582419,30;886120,22;654756,24;707348,89;2830644,65
"411180 Jacarezinho";4075852,64;4568360,82;4741509,86;3842423,75;17228147,07
"411190 Jaguapitã";1476012,34;1700407,55;1986583,54;2288280,04;7451283,47
"411200 Jaguariaíva";3612112,58;4266576,07;4764870,68;4115089,25;16758648,58
"411210 Jandaia do Sul";2922204,43;2962255,42;3089990,17;3260901,27;12235351,29
"411220 Janiópolis";609629,31;764124,95;639557,58;689094,42;2702406,26
"411230 Japira";553274,23;513555,87;758957,41;617086,94;2442874,45
"411240 Japurá";1002019,35;1104459,68;1105015,73;1115912,85;4327407,61
"411250 Jardim Alegre";1663049,84;1988115,91;2138400,97;1617048,47;7406615,19
"411260 Jardim Olinda";99424,91;153492,77;96214,14;123274,38;472406,20
"411270 Jataizinho";1792388,43;2434059,25;2160330,59;2310035,13;8696813,40
"411275 Jesuítas";1400834,01;1188755,06;1283500,37;1664504,57;5537594,01
"411280 Joaquim Távora";1389595,59;1814144,68;1480744,95;1444201,81;6128687,03
"411290 Jundiaí do Sul";416945,18;413430,73;542366,73;522691,09;1895433,73
"411295 Juranda";887039,83;1005692,95;1016685,41;619719,80;3529137,99
"411300 Jussara";809968,04;628837,70;720134,53;758625,51;2917565,78
"411310 Kaloré";602489,87;740330,02;952121,67;803729,66;3098671,22
"411320 Lapa";7525623,54;7850080,83;7533720,89;6711542,11;29620967,37
"411325 Laranjal";428841,11;512271,68;528019,77;559057,99;2028190,55
"411330 Laranjeiras do Sul";3202428,29;3686243,57;3224830,59;3180136,82;13293639,27
"411340 Leópolis";431968,02;692257,93;571211,67;481409,38;2176847,00
"411342 Lidianópolis";781860,38;729545,40;933875,25;639157,40;3084438,43
"411345 Lindoeste";711401,77;667640,40;624232,24;523660,71;2526935,12
"411350 Loanda";2065833,59;2550837,97;2428739,54;2143938,68;9189349,78
"411360 Lobato";455819,72;331922,78;456570,55;464389,85;1708702,90
"411370 Londrina";54534515,57;61638934,14;60133223,48;68232922,93;244539596,12
"411373 Luiziana";778513,99;695395,91;669066,52;362232,29;2505208,71
"411375 Lunardelli";831828,84;806859,92;829160,64;838913,40;3306762,80
"411380 Lupionópolis";603720,80;564802,04;607188,19;660157,10;2435868,13
"411390 Mallet";1500535,05;1485260,67;1260541,39;917311,41;5163648,52
"411400 Mamborê";1569685,14;1535184,80;1612067,52;1092860,59;5809798,05
"411410 Mandaguaçu";2323349,62;2037088,00;2209845,34;2376906,38;8947189,34
"411420 Mandaguari";4055731,39;4378579,52;4240802,38;4108686,99;16783800,28
"411430 Mandirituba";4553829,04;4252505,53;4210200,68;4602854,75;17619390,00
"411435 Manfrinópolis";409921,05;369393,52;341946,76;222997,81;1344259,14
"411440 Mangueirinha";1543237,59;1952336,74;1847543,99;1524225,80;6867344,12
"411450 Manoel Ribas";1274158,86;1673511,47;1791743,49;1355830,63;6095244,45
"411460 Marechal Cândido Rondon";4309788,02;4364675,45;4647309,78;4957418,83;18279192,08
"411470 Maria Helena";706556,34;597563,43;827002,75;670230,77;2801353,29
"411480 Marialva";4368054,46;4211793,98;4301608,19;4611633,25;17493089,88
"411490 Marilândia do Sul";1305319,60;1306566,46;1262906,24;1140228,83;5015021,13
"411500 Marilena";815725,89;927755,65;1187670,08;927122,44;3858274,06
"411510 Mariluz";1698777,90;1185006,04;1335056,34;1180079,51;5398919,79
"411520 Maringá";38584666,57;39685087,49;39375934,22;41295671,20;158941359,48
"411530 Mariópolis";533870,93;682985,13;661246,89;551839,73;2429942,68
"411535 Maripá";573526,13;616147,90;673651,20;808262,76;2671587,99
"411540 Marmeleiro";1945283,22;2189270,60;1879492,67;1366570,64;7380617,13
"411545 Marquinho";396788,43;431086,13;534330,99;254720,23;1616925,78
"411550 Marumbi";685572,56;775900,79;804553,28;677207,81;2943234,44
"411560 Matelândia";1347535,14;1455574,69;1402262,83;1455494,48;5660867,14
"411570 Matinhos";4274978,28;4701810,28;4530589,78;3533652,55;17041030,89
"411573 Mato Rico";464401,67;498427,49;507105,90;372147,71;1842082,77
"411575 Mauá da Serra";1275759,15;1310147,58;1362922,14;1077750,62;5026579,49
"411580 Medianeira";4344739,81;4501493,14;4224673,83;4745896,43;17816803,21
"411585 Mercedes";462280,16;660142,93;643310,27;586395,94;2352129,30
"411590 Mirador";262045,09;475334,05;421882,35;358683,91;1517945,40
"411600 Miraselva";332899,49;277894,62;397335,14;278487,84;1286617,09
"411605 Missal";1120671,90;1122728,00;1350977,49;1249090,23;4843467,62
"411610 Moreira Sales";1436925,06;1654052,42;1371213,53;1364390,13;5826581,14
"411620 Morretes";1918743,62;2080759,91;2500476,20;2019752,58;8519732,31
"411630 Munhoz de Melo";498907,52;542226,60;671712,78;398361,97;2111208,87
"411640 Nossa Senhora das Graças";691789,58;481314,84;580787,72;429419,42;2183311,56
"411650 Nova Aliança do Ivaí";141318,70;174256,77;262641,24;119358,17;697574,88
"411660 Nova América da Colina";504530,88;511645,86;393042,94;285422,51;1694642,19
"411670 Nova Aurora";1355334,85;1287380,57;1349191,53;1548567,33;5540474,28
"411680 Nova Cantu";739059,75;967340,60;902900,51;629387,77;3238688,63
"411690 Nova Esperança";2763832,20;2428717,76;2734652,85;2676398,18;10603600,99
"411695 Nova Esperança do Sudoeste";633091,22;618081,35;655910,43;716450,19;2623533,19
"411700 Nova Fátima";966357,72;1101596,05;1207166,14;1221501,73;4496621,64
"411705 Nova Laranjeiras";945651,46;941930,89;872911,12;1089325,92;3849819,39
"411710 Nova Londrina";1158651,99;1667270,90;1769822,30;1291815,92;5887561,11
"411720 Nova Olímpia";815931,95;849437,42;1176029,34;914551,82;3755950,53
"411725 Nova Prata do Iguaçu";1366185,86;1493790,91;1112206,12;1212883,26;5185066,15
"411721 Nova Santa Bárbara";553937,19;709649,65;841400,36;438539,19;2543526,39
"411722 Nova Santa Rosa";690148,90;709919,09;724400,54;810128,14;2934596,67
"411727 Nova Tebas";1063368,60;1147241,00;1532386,34;1058953,24;4801949,18
"411729 Novo Itacolomi";568026,54;333295,49;535029,42;429624,41;1865975,86
"411730 Ortigueira";2553787,59;2822207,81;3353190,69;3341231,31;12070417,40
"411740 Ourizona";280123,28;509960,85;427896,24;494791,73;1712772,10
"411745 Ouro Verde do Oeste";493555,06;626019,97;624856,57;853216,13;2597647,73
"411750 Paiçandu";3954843,13;4386426,05;4797746,84;5360322,46;18499338,48
"411760 Palmas";4947756,93;4467732,83;4979786,99;4865846,00;19261122,75
"411770 Palmeira";3684938,22;4061545,48;4433227,39;3819793,01;15999504,10
"411780 Palmital";1182256,04;1114514,61;1396513,35;1190969,59;4884253,59
"411790 Palotina";3074404,72;3415714,69;3294620,95;3627453,00;13412193,36
"411800 Paraíso do Norte";1312933,88;1706539,13;1836311,82;1600842,49;6456627,32
"411810 Paranacity";911245,83;1032637,36;1177592,28;1087608,65;4209084,12
"411820 Paranaguá";14855461,29;15229554,77;16052936,27;13561221,79;59699174,12
"411830 Paranapoema";277988,30;358144,85;196190,27;422811,03;1255134,45
"411840 Paranavaí";9288277,90;10078853,54;10901426,89;8768056,45;39036614,78
"411845 Pato Bragado";686021,98;714145,35;531759,42;452231,82;2384158,57
"411850 Pato Branco";8149779,76;8984690,72;9203780,68;8385751,60;34724002,76
"411860 Paula Freitas";676779,90;746590,62;907418,11;799479,91;3130268,54
"411870 Paulo Frontin";728221,87;882616,82;708180,36;542162,05;2861181,10
"411880 Peabiru";1367241,00;1395444,09;1668712,25;1296343,47;5727740,81
"411885 Perobal";722275,64;785255,69;686488,22;967632,98;3161652,53
"411890 Pérola";1123846,65;1230298,92;1147288,97;1510698,72;5012133,26
"411900 Pérola d'Oeste";798250,10;851626,80;754436,60;636396,53;3040710,03
"411910 Piên";1914803,39;2968778,99;2299603,79;2038917,37;9222103,54
"411915 Pinhais";17864207,59;20443478,68;20020864,63;19954093,01;78282643,91
"411925 Pinhal de São Bento";301678,98;309953,63;336864,28;156012,79;1104509,68
"411920 Pinhalão";940649,45;1471642,15;1148364,07;772482,35;4333138,02
"411930 Pinhão";2897467,67;3287811,96;3776234,35;3436197,06;13397711,04
"411940 Piraí do Sul";3262541,33;2733458,15;2784910,68;2994984,27;11775894,43
"411950 Piraquara";15201229,94;15670241,73;15826980,78;15988675,55;62687128,00
"411960 Pitanga";3419034,30;3636113,19;3910472,35;3567718,16;14533338,00
"411965 Pitangueiras";526781,02;444888,75;453090,82;371669,42;1796430,01
"411970 Planaltina do Paraná";668329,84;602003,50;712741,12;435519,66;2418594,12
"411980 Planalto";1663883,29;1689304,24;1838593,15;1345904,44;6537685,12
"411990 Ponta Grossa";32224203,34;30658206,02;34652212,55;33778812,86;131313434,77
"411995 Pontal do Paraná";2749109,83;3157646,41;3508186,28;2406740,77;11821683,29
"412000 Porecatu";1403495,24;1689948,22;1650700,53;1737436,25;6481580,24
"412010 Porto Amazonas";743805,40;924210,02;745149,03;465218,23;2878382,68
"412015 Porto Barreiro";254527,67;355808,90;320944,91;398693,64;1329975,12
"412020 Porto Rico";458673,04;282829,72;329768,05;322320,18;1393590,99
"412030 Porto Vitória";676240,86;460925,09;725120,03;425677,64;2287963,62
"412033 Prado Ferreira";480558,76;450223,84;412118,14;770496,29;2113397,03
"412035 Pranchita";859461,54;774756,45;775251,01;645287,77;3054756,77
"412040 Presidente Castelo Branco";455717,17;614570,66;505696,94;538174,57;2114159,34
"412050 Primeiro de Maio";1333246,48;1588617,17;1457094,39;1547288,41;5926246,45
"412060 Prudentópolis";4815513,17;4765140,69;5131649,99;4747245,17;19459549,02
"412065 Quarto Centenário";515569,14;465281,63;517885,35;414099,38;1912835,50
"412070 Quatiguá";948047,30;1172083,19;1365542,58;738398,21;4224071,28
"412080 Quatro Barras";3360540,19;3890090,67;4346543,24;4462087,83;16059261,93
"412085 Quatro Pontes";403304,59;398542,48;441990,27;356416,47;1600253,81
"412090 Quedas do Iguaçu";3314422,88;3150670,91;3643201,72;3444166,42;13552461,93
"412100 Querência do Norte";1362734,50;1529107,49;1196705,95;894277,58;4982825,52
"412110 Quinta do Sol";438524,18;493880,20;653307,97;535302,05;2121014,40
"412120 Quitandinha";2782927,19;2949899,02;2905298,59;2326218,56;10964343,36
"412125 Ramilândia";289723,72;359558,84;344890,15;327868,66;1322041,37
"412130 Rancho Alegre";390148,90;476027,15;493514,80;355868,93;1715559,78
"412135 Rancho Alegre D'Oeste";221873,49;201311,17;248943,13;405871,81;1077999,60
"412140 Realeza";2146640,98;2039009,52;1676528,90;1829890,16;7692069,56
"412150 Rebouças";1746148,60;1938528,14;2003305,84;1645492,66;7333475,24
"412160 Renascença";675789,41;765194,80;687315,70;644537,84;2772837,75
"412170 Reserva";2796532,27;3352862,04;3505087,06;3130811,33;12785292,70
"412175 Reserva do Iguaçu";461934,30;930916,31;583955,06;572935,47;2549741,14
"412180 Ribeirão Claro";1191858,85;1852228,50;1526393,66;1256612,45;5827093,46
"412190 Ribeirão do Pinhal";1714073,26;2133340,58;1933840,68;2076018,97;7857273,49
"412200 Rio Azul";1290850,27;1468363,95;1387407,13;1393250,93;5539872,28
"412210 Rio Bom";718202,54;712501,84;637292,22;337685,41;2405682,01
"412215 Rio Bonito do Iguaçu";1222841,08;1394999,12;1161053,92;1196375,74;4975269,86
"412217 Rio Branco do Ivaí";457075,39;582866,75;720718,49;360529,91;2121190,54
"412220 Rio Branco do Sul";5169761,58;5105658,71;5931251,86;5164385,03;21371057,18
"412230 Rio Negro";4293940,60;5096716,01;4187280,35;3771808,17;17349745,13
"412240 Rolândia";6968203,94;8422137,63;8338620,16;9447483,34;33176445,07
"412250 Roncador";1076430,16;1375111,97;1264427,17;1228857,33;4944826,63
"412260 Rondon";988736,56;1157516,70;1045001,81;818967,54;4010222,61
"412265 Rosário do Ivaí";807440,59;972937,47;1021322,83;834710,93;3636411,82
"412270 Sabáudia";976930,07;1145354,71;1422994,97;1411114,84;4956394,59
"412280 Salgado Filho";591755,35;521179,33;487067,14;301024,85;1901026,67
"412290 Salto do Itararé";383277,72;691776,01;556932,01;464181,60;2096167,34
"412300 Salto do Lontra";1641673,73;1792641,41;1743906,63;1771147,25;6949369,02
"412310 Santa Amélia";336035,11;373067,84;510931,98;291239,59;1511274,52
"412320 Santa Cecília do Pavão";415577,38;432176,10;553982,20;474237,88;1875973,56
"412330 Santa Cruz de Monte Castelo";899530,74;1004821,01;956190,11;830548,34;3691090,20
"412340 Santa Fé";1286249,48;1384356,87;1588948,60;1251382,73;5510937,68
"412350 Santa Helena";2422168,86;2790675,48;3102971,46;2820858,18;11136673,98
"412360 Santa Inês";191089,28;150327,74;171148,60;194336,70;706902,32
"412370 Santa Isabel do Ivaí";1347240,11;1292382,74;892451,13;796455,85;4328529,83
"412380 Santa Izabel do Oeste";1481016,90;1297977,54;1247890,72;1383392,45;5410277,61
"412382 Santa Lúcia";383213,33;522748,53;459378,85;465678,70;1831019,41
"412385 Santa Maria do Oeste";1118146,54;1053332,76;1181468,85;1043141,77;4396089,92
"412390 Santa Mariana";2620675,42;2914296,90;2836552,95;2742423,54;11113948,81
"412395 Santa Mônica";383113,52;458444,30;578177,72;426329,13;1846064,67
"412402 Santa Tereza do Oeste";1251474,98;1279995,38;1375391,48;1644478,25;5551340,09
"412405 Santa Terezinha de Itaipu";2227489,77;2491044,12;2606134,53;2295680,88;9620349,30
"412400 Santana do Itararé";651146,86;695306,16;674494,55;594453,39;2615400,96
"412410 Santo Antônio da Platina";4628609,00;5193840,64;4564010,70;4082805,79;18469266,13
"412420 Santo Antônio do Caiuá";366246,27;315734,76;326226,48;264894,13;1273101,64
"412430 Santo Antônio do Paraíso";173117,64;286381,79;344249,64;315890,84;1119639,91
"412440 Santo Antônio do Sudoeste";2458117,76;1924865,63;2320109,85;1936629,44;8639722,68
"412450 Santo Inácio";525574,25;731325,11;721181,03;625844,84;2603925,23
"412460 São Carlos do Ivaí";833012,51;807915,87;905965,52;639942,61;3186836,51
"412470 São Jerônimo da Serra";912625,45;1148857,19;1089807,48;1052418,67;4203708,79
"412480 São João";1166857,71;1164277,05;946506,25;764885,48;4042526,49
"412490 São João do Caiuá";580969,37;754199,04;844493,80;618712,62;2798374,83
"412500 São João do Ivaí";1683510,32;1717080,86;1745534,77;1412333,18;6558459,13
"412510 São João do Triunfo";1639974,66;1749592,36;1624968,17;1034927,72;6049462,91
"412520 São Jorge d'Oeste";1274448,98;1166992,47;1334631,07;1068581,55;4844654,07
"412530 São Jorge do Ivaí";821006,79;463695,05;554131,73;530458,03;2369291,60
"412535 São Jorge do Patrocínio";830770,23;865045,80;947698,51;860605,29;3504119,83
"412540 São José da Boa Vista";869070,34;807022,64;620382,54;580845,29;2877320,81
"412545 São José das Palmeiras";500041,24;580543,71;507501,85;456763,97;2044850,77
"412550 São José dos Pinhais";37115834,04;42489978,98;44555177,28;45451191,29;169612181,59
"412555 São Manoel do Paraná";246432,21;321243,96;187875,61;129053,74;884605,52
"412560 São Mateus do Sul";4843418,16;4350492,85;4146315,73;3286656,87;16626883,61
"412570 São Miguel do Iguaçu";2123345,74;2693026,20;2442770,83;2511662,20;9770804,97
"412575 São Pedro do Iguaçu";629439,32;747628,47;704259,21;851791,40;2933118,40
"412580 São Pedro do Ivaí";1071154,55;1253527,98;1240142,99;1219253,48;4784079,00
"412590 São Pedro do Paraná";352072,72;406321,10;487132,57;234808,27;1480334,66
"412600 São Sebastião da Amoreira";784043,74;1333616,88;961385,32;994789,52;4073835,46
"412610 São Tomé";680847,52;597779,65;483141,45;701045,85;2462814,47
"412620 Sapopema";620616,19;687523,99;772474,03;834813,10;2915427,31
"412625 Sarandi";11854251,67;12245291,71;12257208,35;12097380,68;48454132,41
"412627 Saudade do Iguaçu";532920,84;600925,37;710725,20;670171,38;2514742,79
"412630 Sengés";1897233,51;1994144,26;2141415,85;1716374,60;7749168,22
"412635 Serranópolis do Iguaçu";680154,97;670459,43;962451,86;658759,49;2971825,75
"412640 Sertaneja";723446,30;811226,66;872634,19;811268,86;3218576,01
"412650 Sertanópolis";1683757,29;1851286,96;1895665,52;1789205,62;7219915,39
"412660 Siqueira Campos";2483263,68;2446326,87;2184186,99;1939176,91;9052954,45
"412665 Sulina";293511,72;216117,13;311354,20;268207,14;1089190,19
"412667 Tamarana";1498820,14;1701168,07;1565560,88;1801935,03;6567484,12
"412670 Tamboara";844600,45;777312,26;799091,89;531961,64;2952966,24
"412680 Tapejara";1316753,55;1546218,22;1502202,45;1619570,58;5984744,80
"412690 Tapira";611266,24;861106,03;814580,97;572066,84;2859020,08
"412700 Teixeira Soares";1251581,62;1188360,10;1288896,58;1062222,92;4791061,22
"412710 Telêmaco Borba";9697193,68;10129863,78;9715351,11;8128418,42;37670826,99
"412720 Terra Boa";2222243,28;2496625,53;2512813,59;1867680,39;9099362,79
"412730 Terra Rica";1264586,80;1844914,49;1626384,90;1454220,55;6190106,74
"412740 Terra Roxa";1626953,44;2039598,54;2224653,90;2127133,24;8018339,12
"412750 Tibagi";2269576,66;2714984,34;2619086,33;2210225,30;9813872,63
"412760 Tijucas do Sul";2984689,51;3291291,86;2783989,21;3029494,97;12089465,55
"412770 Toledo";11014773,49;12521932,24;12206362,85;16087562,59;51830631,17
"412780 Tomazina";843157,78;1110524,61;1052883,41;1038793,75;4045359,55
"412785 Três Barras do Paraná";1377949,48;1328267,18;1485012,15;1372344,75;5563573,56
"412788 Tunas do Paraná";794445,58;914995,84;1153968,85;923980,96;3787391,23
"412790 Tuneiras do Oeste";998312,57;1295470,20;1277358,01;868303,85;4439444,63
"412795 Tupãssi";725788,22;810408,29;842368,52;960174,93;3338739,96
"412796 Turvo";1662356,04;1892622,04;1835875,96;1365087,59;6755941,63
"412800 Ubiratã";2405230,99;2685842,52;2580175,60;2588213,47;10259462,58
"412810 Umuarama";12236187,24;15599945,46;14514916,58;15522281,12;57873330,40
"412820 União da Vitória";6917286,22;7086313,18;7717347,16;6133264,08;27854210,64
"412830 Uniflor";252379,73;289489,90;317250,14;192033,89;1051153,66
"412840 Uraí";1041063,16;1134408,75;1157207,16;1027867,48;4360546,55
"412853 Ventania";1291444,77;1751348,15;1529286,60;1193185,22;5765264,74
"412855 Vera Cruz do Oeste";990163,40;865197,19;830676,60;1039244,07;3725281,26
"412860 Verê";1145276,82;1333082,94;1093479,93;1105869,80;4677709,49
"412865 Virmond";280793,81;494587,87;448338,08;340085,40;1563805,16
"412870 Vitorino";544941,21;687842,00;963882,72;681277,50;2877943,43
"412850 Wenceslau Braz";2788965,07;3181950,91;2451677,95;2093333,16;10515927,09
"412880 Xambrê";788732,73;824053,27;742651,99;810438,71;3165876,70
"420005 Abdon Batista";238797,57;289747,24;263309,15;193245,39;985099,35
"420010 Abelardo Luz";1469838,16;1526625,28;2071295,62;1804579,68;6872338,74
"420020 Agrolândia";1255976,10;1502730,36;1785417,71;1207172,06;5751296,23
"420030 Agronômica";590349,70;845647,84;887004,27;862354,37;3185356,18
"420040 Água Doce";996317,10;998933,77;1276501,75;974266,64;4246019,26
"420050 Águas de Chapecó";587796,50;688300,66;523144,67;588131,60;2387373,43
"420055 Águas Frias";236602,69;299416,13;344799,17;256533,95;1137351,94
"420060 Águas Mornas";733757,72;731834,47;895522,52;727002,40;3088117,11
"420070 Alfredo Wagner";1028637,06;1247427,85;1193736,21;999192,86;4468993,98
"420075 Alto Bela Vista";177819,04;186123,80;238746,55;295130,69;897820,08
"420080 Anchieta";768287,52;685417,87;558166,21;665612,36;2677483,96
"420090 Angelina";675658,06;724277,62;547310,59;523154,40;2470400,67
"420100 Anita Garibaldi";1154678,42;988307,38;1053687,96;902038,33;4098712,09
"420110 Anitápolis";619897,38;443214,02;690033,41;445437,71;2198582,52
"420120 Antônio Carlos";900602,45;1023458,14;1038464,03;934464,15;3896988,77
"420125 Apiúna";1158234,26;1295139,16;1192007,98;1011560,53;4656941,93
"420127 Arabutã";434646,35;371996,00;571857,65;421295,32;1799795,32
"420130 Araquari";2605217,85;3458614,40;3629531,72;3663301,60;13356665,57
"420140 Araranguá";6391168,81;6811402,31;6501974,98;6390832,01;26095378,11
"420150 Armazém";1124816,93;975830,49;1154621,58;1137512,80;4392781,80
"420160 Arroio Trinta";482931,13;547167,26;622275,83;492401,85;2144776,07
"420165 Arvoredo";206787,63;267478,84;416718,91;237350,13;1128335,51
"420170 Ascurra";773776,90;958041,27;904322,14;1031535,83;3667676,14
"420180 Atalanta";525074,90;483012,39;486558,41;453321,37;1947967,07
"420190 Aurora";768916,25;769417,86;966020,03;676755,60;3181109,74
"420195 Balneário Arroio do Silva";1361793,19;1708311,04;1451422,53;1646644,59;6168171,35
"420205 Balneário Barra do Sul";1447170,57;1779145,81;1487202,43;1765756,27;6479275,08
"420200 Balneário Camboriú";9424471,48;9858880,61;11595820,02;11655612,51;42534784,62
"420207 Balneário Gaivota";1550977,85;1200112,55;1271676,71;1302323,97;5325091,08
"421280 Balneário Piçarras";2703743,43;2559240,93;2497133,00;2660576,97;10420694,33
"422000 Balneário Rincão";1544624,83;1458832,95;1730742,18;1497952,18;6232152,14
"420208 Bandeirante";334886,08;307620,98;337878,67;203527,05;1183912,78
"420209 Barra Bonita";212717,22;197303,17;243135,81;104634,61;757790,81
"420210 Barra Velha";2812188,18;3525496,64;3877707,48;4168764,78;14384157,08
"420213 Bela Vista do Toldo";464841,01;524379,87;433352,73;599990,36;2022563,97
"420215 Belmonte";413558,72;365280,81;319112,89;224798,07;1322750,49
"420220 Benedito Novo";969174,89;1294647,81;1282424,87;1081205,97;4627453,54
"420230 Biguaçu";6757219,73;6785329,17;7556281,80;7298647,02;28397477,72
"420240 Blumenau";40486342,91;45051334,21;44866524,85;45884052,64;176288254,61
"420243 Bocaina do Sul";356045,28;215158,04;405364,56;322531,06;1299098,94
"420250 Bom Jardim da Serra";382844,97;255039,37;316882,26;195685,82;1150452,42
"420253 Bom Jesus";282002,87;303391,37;224308,02;279379,70;1089081,96
"420257 Bom Jesus do Oeste";193545,08;259122,68;272648,00;176606,93;901922,69
"420260 Bom Retiro";1106450,05;1042341,55;1031321,25;1115970,54;4296083,39
"420245 Bombinhas";1631745,62;1844677,96;2025246,69;1933742,10;7435412,37
"420270 Botuverá";440206,72;640996,33;543578,72;451899,63;2076681,40
"420280 Braço do Norte";3414424,05;3834636,01;3960853,99;3874399,96;15084314,01
"420285 Braço do Trombudo";494070,03;526234,21;613119,60;549037,90;2182461,74
"420287 Brunópolis";431446,06;379042,93;431248,87;399989,85;1641727,71
"420290 Brusque";10666422,72;11677647,82;11419016,42;11533205,31;45296292,27
"420300 Caçador";7591388,60;8212431,48;7735870,31;7568076,49;31107766,88
"420310 Caibi";781917,61;862864,25;797876,12;742287,13;3184945,11
"420315 Calmon";457159,46;458339,79;285196,17;412672,05;1613367,47
"420320 Camboriú";5805813,64;5523537,00;6608526,41;8265899,21;26203776,26
