ranking;grupo_n;score;co_mun;no_mun;uf;desemp_medio_ideb;qt_iniciativas;media_prioridade_operacional;idh_2010;media_prioridade_obra;dist_id_serie;label_media_ideb;label_iniciativas;label_prioridade_oper;label_idh;label_prioridade_obra;label_dist_id_serie
2957;4;0,130429375;4105607;Cidade Gaúcha;PR;0,011079509;0,025585763;0,010360541;0,036517473;0,040810986;0,153477632;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2958;4;0,130431809;4106209;Contenda;PR;0,011820307;0,025585763;0,010360541;0,03595414;0,040810986;0,153477632;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2959;4;0,130432615;4211504;Nova Trento;SC;0,01095172;0,025585763;0,010360541;0,03697423;0,040810986;0,153477632;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2960;4;0,130432685;4320651;Silveira Martins;RS;0,011213208;0,025585763;0,010360541;0,036882878;0,040810986;0,153477632;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2961;4;0,130437663;4305801;Constantina;RS;0,011711165;0,025585763;0,010360541;0,037065581;0,040810986;0,153477632;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2962;4;0,130540814;2912400;Ibipeba;BA;0,009863718;0,025585763;0,010360541;0,0349645;0,056036208;0,357495613;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;baixa_prioridade_obra;alto_dist_id_serie
2963;4;0,130655491;5219704;Santa Terezinha de Goiás;GO;0,00952182;0,040810986;0,010360541;0,036258644;0,040810986;0,155000154;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2964;4;0,130668309;4304101;Campos Borges;RS;0,009689503;0,040810986;0,010360541;0,036365221;0,040810986;0,155000154;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2965;4;0,130715163;1501600;Bonito;PA;0,013149249;0,025585763;0,010360541;0,033898735;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2966;4;0,130724359;2513356;Santa Inês;PB;0,012054835;0,025585763;0,010360541;0,03429459;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2967;4;0,130733162;2105609;Joselândia;MA;0,013313392;0,025585763;0,010360541;0,034127113;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2968;4;0,13073734;1503903;Juruti;PA;0,010846902;0,025585763;0,010360541;0,034599095;0,040810986;0,359018135;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2969;4;0,130750742;2926905;Rio do Pires;BA;0,012355512;0,025585763;0,010360541;0,034629545;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2970;4;0,130751157;2411700;São Bento do Trairí;RN;0,012306622;0,025585763;0,010360541;0,03464477;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2971;4;0,130767695;2109056;Porto Rico do Maranhão;MA;0,011868353;0,025585763;0,010360541;0,034949275;0,040810986;0,359018135;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2972;4;0,13183344;3143500;Morada Nova de Minas;MG;0,009811905;0,056036208;0,010360541;0,036182518;0,040810986;0,153477632;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2973;4;0,13192024;3514908;Elias Fausto;SP;0,01078082;0,025585763;0,010360541;0,036167293;0,040810986;0,155000154;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2974;4;0,131927452;5101902;Brasnorte;MT;0,012005462;0,025585763;0,010360541;0,036182518;0,040810986;0,155000154;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2975;4;0,131928708;3537602;Peruíbe;SP;0,011534379;0,025585763;0,010360541;0,036989455;0,040810986;0,155000154;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2976;4;0,131936228;4305850;Coqueiros do Sul;RS;0,012334181;0,025585763;0,010360541;0,036943779;0,040810986;0,155000154;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2977;4;0,132033571;3164704;São Sebastião do Paraíso;MG;0,007471827;0,040810986;0,010360541;0,036578374;0,040810986;0,156522676;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2978;4;0,132045234;2512507;Queimadas;PB;0,008166596;0,056036208;0,010360541;0,034842698;0,040810986;0,359018135;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2979;4;0,13213011;3552601;Tabapuã;SP;0,008997088;0,040810986;0,010360541;0,036776302;0,040810986;0,156522676;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2980;4;0,132132659;3166600;Serra da Saudade;MG;0,009095258;0,040810986;0,010360541;0,035893239;0,040810986;0,156522676;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2981;4;0,132258678;2512408;Puxinanã;PB;0,011803287;0,025585763;0,010360541;0,034979725;0,040810986;0,360540657;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2982;4;0,132543809;2209807;São Gonçalo do Piauí;PI;0,010179288;0,040810986;0,010360541;0,0349645;0,040810986;0,362063179;intermediario_media_ideb;intermediario_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2983;4;0,13330829;5221551;Turvelândia;GO;0,009779022;0,056036208;0,010360541;0,036106392;0,040810986;0,155000154;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2984;4;0,133315054;1707306;Dueré;TO;0,009876432;0,056036208;0,010360541;0,035923689;0,040810986;0,155000154;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2985;4;0,13332608;1714203;Natividade;TO;0,010025699;0,056036208;0,010360541;0,035832338;0,040810986;0,155000154;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2986;4;0,133414579;3140506;Martinho Campos;MG;0,011204828;0,025585763;0,010360541;0,035771437;0,040810986;0,156522676;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2987;4;0,133417135;4306130;Cruzaltense;RS;0,011213208;0,025585763;0,010360541;0,036532698;0,040810986;0,156522676;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2988;4;0,133419459;4122701;Sabáudia;PR;0,011206386;0,025585763;0,010360541;0,036852428;0,040810986;0,156522676;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2989;4;0,133421325;3507803;Brodowski;SP;0,011137661;0,025585763;0,010360541;0,037080806;0,040810986;0,156522676;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2990;4;0,133655743;5106653;Pontal do Araguaia;MT;0,009243619;0,040810986;0,010360541;0,036761076;0,040810986;0,158045198;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2991;4;0,133708306;2102036;Bom Jesus das Selvas;MA;0,013196464;0,025585763;0,010360541;0,034081437;0,040810986;0,362063179;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2992;4;0,133717218;2107308;Nova Iorque;MA;0,012080982;0,025585763;0,010360541;0,034477293;0,040810986;0,362063179;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2993;4;0,133720347;2906105;Canápolis;BA;0,013455008;0,025585763;0,010360541;0,034188014;0,040810986;0,362063179;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2994;4;0,133780019;4322376;Unistalda;RS;0,011213208;0,025585763;0,010360541;0,035466932;0,040810986;0,362063179;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;alto_dist_id_serie
2995;4;0,133900032;2704203;Limoeiro de Anadia;AL;0,008598213;0,040810986;0,010360541;0,034416392;0,040810986;0,363585702;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2996;4;0,134087642;1506161;Rio Maria;PA;0,010384146;0,040810986;0,010360541;0,035299455;0,040810986;0,363585702;intermediario_media_ideb;intermediario_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;alto_dist_id_serie
2997;4;0,134910323;3165305;São Vicente de Minas;MG;0,010909242;0,025585763;0,010360541;0,036471797;0,040810986;0,158045198;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2998;4;0,134911764;4313805;Palmitinho;RS;0,011213208;0,025585763;0,010360541;0,036547923;0,040810986;0,158045198;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2999;4;0,134920218;4202859;Braço do Trombudo;SC;0,011138019;0,025585763;0,010360541;0,037461437;0,040810986;0,158045198;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
3000;4;0,135153419;2304285;Eusébio;CE;0,009119967;0,040810986;0,010360541;0,036258644;0,040810986;0,159567721;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
3001;4;0,135189662;2210102;São José do Peixe;PI;0,010669415;0,025585763;0,010360541;0,034309816;0,040810986;0,363585702;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
